Episode,Reward,Success,Timeout
1,-489.71000000000004,0,1
2,-489.71000000000004,0,1
3,-489.71000000000004,0,1
4,-489.71000000000004,0,1
5,-489.71000000000004,0,1
6,-489.71000000000004,0,1
7,-489.71000000000004,0,1
8,-489.71000000000004,0,1
9,-489.71000000000004,0,1
10,-489.71000000000004,0,1
11,-489.71000000000004,0,1
12,-489.71000000000004,0,1
13,-489.71000000000004,0,1
14,-489.71000000000004,0,1
15,-489.71000000000004,0,1
16,-489.71000000000004,0,1
17,-489.71000000000004,0,1
18,-489.71000000000004,0,1
19,-489.71000000000004,0,1
20,-489.71000000000004,0,1
21,-489.71000000000004,0,1
22,-489.71000000000004,0,1
23,-489.71000000000004,0,1
24,-489.71000000000004,0,1
25,-489.71000000000004,0,1
26,-489.71000000000004,0,1
27,-489.71000000000004,0,1
28,-489.71000000000004,0,1
29,-489.71000000000004,0,1
30,-489.71000000000004,0,1
31,-489.71000000000004,0,1
32,-489.71000000000004,0,1
33,-489.71000000000004,0,1
34,-489.71000000000004,0,1
35,-489.71000000000004,0,1
36,-489.71000000000004,0,1
37,-489.71000000000004,0,1
38,-489.71000000000004,0,1
39,-489.71000000000004,0,1
40,-489.71000000000004,0,1
41,-489.71000000000004,0,1
42,-489.71000000000004,0,1
43,-489.71000000000004,0,1
44,-489.71000000000004,0,1
45,-489.71000000000004,0,1
46,-489.71000000000004,0,1
47,-489.71000000000004,0,1
48,-489.71000000000004,0,1
49,-489.71000000000004,0,1
50,-489.71000000000004,0,1
51,-489.71000000000004,0,1
52,-489.71000000000004,0,1
53,-489.71000000000004,0,1
54,-489.71000000000004,0,1
55,-489.71000000000004,0,1
56,-489.71000000000004,0,1
57,-489.71000000000004,0,1
58,-489.71000000000004,0,1
59,-489.71000000000004,0,1
60,-489.71000000000004,0,1
61,-489.71000000000004,0,1
62,-489.71000000000004,0,1
63,-489.71000000000004,0,1
64,-489.71000000000004,0,1
65,-489.71000000000004,0,1
66,-489.71000000000004,0,1
67,-489.71000000000004,0,1
68,-489.71000000000004,0,1
69,-489.71000000000004,0,1
70,-489.71000000000004,0,1
71,-489.71000000000004,0,1
72,-489.71000000000004,0,1
73,-489.71000000000004,0,1
74,-489.71000000000004,0,1
75,-489.71000000000004,0,1
76,-489.71000000000004,0,1
77,-489.71000000000004,0,1
78,-489.71000000000004,0,1
79,-489.71000000000004,0,1
80,-489.71000000000004,0,1
81,-489.71000000000004,0,1
82,-489.71000000000004,0,1
83,-489.71000000000004,0,1
84,-489.71000000000004,0,1
85,-489.71000000000004,0,1
86,-489.71000000000004,0,1
87,-489.71000000000004,0,1
88,-489.71000000000004,0,1
89,-489.71000000000004,0,1
90,-489.71000000000004,0,1
91,-489.71000000000004,0,1
92,-489.71000000000004,0,1
93,-489.71000000000004,0,1
94,-489.71000000000004,0,1
95,-489.71000000000004,0,1
96,-489.71000000000004,0,1
97,-489.71000000000004,0,1
98,-489.71000000000004,0,1
99,-489.71000000000004,0,1
100,-489.71000000000004,0,1
