Episode,Reward,Success,Timeout
1,-496.5699999984354,0,1
2,-496.5699999984354,0,1
3,-496.5699999984354,0,1
4,-496.5699999984354,0,1
5,-496.5699999984354,0,1
6,-496.5699999984354,0,1
7,-496.5699999984354,0,1
8,-496.5699999984354,0,1
9,-496.5699999984354,0,1
10,-496.5699999984354,0,1
11,-496.5699999984354,0,1
12,-496.5699999984354,0,1
13,-496.5699999984354,0,1
14,-496.5699999984354,0,1
15,-496.5699999984354,0,1
16,-496.5699999984354,0,1
17,-496.5699999984354,0,1
18,-496.5699999984354,0,1
19,-496.5699999984354,0,1
20,-496.5699999984354,0,1
21,-496.5699999984354,0,1
22,-496.5699999984354,0,1
23,-496.5699999984354,0,1
24,-496.5699999984354,0,1
25,-496.5699999984354,0,1
26,-496.5699999984354,0,1
27,-496.5699999984354,0,1
28,-496.5699999984354,0,1
29,-496.5699999984354,0,1
30,-496.5699999984354,0,1
31,-496.5699999984354,0,1
32,-496.5699999984354,0,1
33,-496.5699999984354,0,1
34,-496.5699999984354,0,1
35,-496.5699999984354,0,1
36,-496.5699999984354,0,1
37,-496.5699999984354,0,1
38,-496.5699999984354,0,1
39,-496.5699999984354,0,1
40,-496.5699999984354,0,1
41,-496.5699999984354,0,1
42,-496.5699999984354,0,1
43,-496.5699999984354,0,1
44,-496.5699999984354,0,1
45,-496.5699999984354,0,1
46,-496.5699999984354,0,1
47,-496.5699999984354,0,1
48,-496.5699999984354,0,1
49,-496.5699999984354,0,1
50,-496.5699999984354,0,1
51,-496.5699999984354,0,1
52,-496.5699999984354,0,1
53,-496.5699999984354,0,1
54,-496.5699999984354,0,1
55,-496.5699999984354,0,1
56,-496.5699999984354,0,1
57,-496.5699999984354,0,1
58,-496.5699999984354,0,1
59,-496.5699999984354,0,1
60,-496.5699999984354,0,1
61,-496.5699999984354,0,1
62,-496.5699999984354,0,1
63,-496.5699999984354,0,1
64,-496.5699999984354,0,1
65,-496.5699999984354,0,1
66,-496.5699999984354,0,1
67,-496.5699999984354,0,1
68,-496.5699999984354,0,1
69,-496.5699999984354,0,1
70,-496.5699999984354,0,1
71,-496.5699999984354,0,1
72,-496.5699999984354,0,1
73,-496.5699999984354,0,1
74,-496.5699999984354,0,1
75,-496.5699999984354,0,1
76,-496.5699999984354,0,1
77,-496.5699999984354,0,1
78,-496.5699999984354,0,1
79,-496.5699999984354,0,1
80,-496.5699999984354,0,1
81,-496.5699999984354,0,1
82,-496.5699999984354,0,1
83,-496.5699999984354,0,1
84,-496.5699999984354,0,1
85,-496.5699999984354,0,1
86,-496.5699999984354,0,1
87,-496.5699999984354,0,1
88,-496.5699999984354,0,1
89,-496.5699999984354,0,1
90,-496.5699999984354,0,1
91,-496.5699999984354,0,1
92,-496.5699999984354,0,1
93,-496.5699999984354,0,1
94,-496.5699999984354,0,1
95,-496.5699999984354,0,1
96,-496.5699999984354,0,1
97,-496.5699999984354,0,1
98,-496.5699999984354,0,1
99,-496.5699999984354,0,1
100,-496.5699999984354,0,1
