Episode,Reward,Success,Timeout
1,-497.5499999988824,0,1
2,-497.5499999988824,0,1
3,-497.5499999988824,0,1
4,-497.5499999988824,0,1
5,-497.5499999988824,0,1
6,-497.5499999988824,0,1
7,-497.5499999988824,0,1
8,-497.5499999988824,0,1
9,-497.5499999988824,0,1
10,-497.5499999988824,0,1
11,-497.5499999988824,0,1
12,-497.5499999988824,0,1
13,-497.5499999988824,0,1
14,-497.5499999988824,0,1
15,-497.5499999988824,0,1
16,-497.5499999988824,0,1
17,-497.5499999988824,0,1
18,-497.5499999988824,0,1
19,-497.5499999988824,0,1
20,-497.5499999988824,0,1
21,-497.5499999988824,0,1
22,-497.5499999988824,0,1
23,-497.5499999988824,0,1
24,-497.5499999988824,0,1
25,-497.5499999988824,0,1
26,-497.5499999988824,0,1
27,-497.5499999988824,0,1
28,-497.5499999988824,0,1
29,-497.5499999988824,0,1
30,-497.5499999988824,0,1
31,-497.5499999988824,0,1
32,-497.5499999988824,0,1
33,-497.5499999988824,0,1
34,-497.5499999988824,0,1
35,-497.5499999988824,0,1
36,-497.5499999988824,0,1
37,-497.5499999988824,0,1
38,-497.5499999988824,0,1
39,-497.5499999988824,0,1
40,-497.5499999988824,0,1
41,-497.5499999988824,0,1
42,-497.5499999988824,0,1
43,-497.5499999988824,0,1
44,-497.5499999988824,0,1
45,-497.5499999988824,0,1
46,-497.5499999988824,0,1
47,-497.5499999988824,0,1
48,-497.5499999988824,0,1
49,-497.5499999988824,0,1
50,-497.5499999988824,0,1
51,-497.5499999988824,0,1
52,-497.5499999988824,0,1
53,-497.5499999988824,0,1
54,-497.5499999988824,0,1
55,-497.5499999988824,0,1
56,-497.5499999988824,0,1
57,-497.5499999988824,0,1
58,-497.5499999988824,0,1
59,-497.5499999988824,0,1
60,-497.5499999988824,0,1
61,-497.5499999988824,0,1
62,-497.5499999988824,0,1
63,-497.5499999988824,0,1
64,-497.5499999988824,0,1
65,-497.5499999988824,0,1
66,-497.5499999988824,0,1
67,-497.5499999988824,0,1
68,-497.5499999988824,0,1
69,-497.5499999988824,0,1
70,-497.5499999988824,0,1
71,-497.5499999988824,0,1
72,-497.5499999988824,0,1
73,-497.5499999988824,0,1
74,-497.5499999988824,0,1
75,-497.5499999988824,0,1
76,-497.5499999988824,0,1
77,-497.5499999988824,0,1
78,-497.5499999988824,0,1
79,-497.5499999988824,0,1
80,-497.5499999988824,0,1
81,-497.5499999988824,0,1
82,-497.5499999988824,0,1
83,-497.5499999988824,0,1
84,-497.5499999988824,0,1
85,-497.5499999988824,0,1
86,-497.5499999988824,0,1
87,-497.5499999988824,0,1
88,-497.5499999988824,0,1
89,-497.5499999988824,0,1
90,-497.5499999988824,0,1
91,-497.5499999988824,0,1
92,-497.5499999988824,0,1
93,-497.5499999988824,0,1
94,-497.5499999988824,0,1
95,-497.5499999988824,0,1
96,-497.5499999988824,0,1
97,-497.5499999988824,0,1
98,-497.5499999988824,0,1
99,-497.5499999988824,0,1
100,-497.5499999988824,0,1
